Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system: Equatorial
name|t90|t90_error|t90_start|fluence|fluence_error|flnc_band_ampl|flnc_band_ampl_pos_err|flnc_band_ampl_neg_err|flnc_band_epeak|flnc_band_epeak_pos_err|flnc_band_epeak_neg_err|flnc_band_alpha|flnc_band_alpha_pos_err|flnc_band_alpha_neg_err|flnc_band_beta|flnc_band_beta_pos_err|flnc_band_beta_neg_err|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_pivot|pflx_comp_pivot_pos_err|pflx_comp_pivot_neg_err|pflx_band_epeak|pflx_band_epeak_pos_err|pflx_band_epeak_neg_err|pflx_band_alpha|pflx_band_alpha_pos_err|pflx_band_alpha_neg_err|pflx_band_beta|pflx_band_beta_pos_err|pflx_band_beta_neg_err|flnc_comp_epeak|flnc_comp_epeak_pos_err|flnc_comp_epeak_neg_err|flnc_comp_index|flnc_comp_index_pos_err|flnc_comp_index_neg_err|flnc_comp_pivot|flnc_comp_pivot_pos_err|flnc_comp_pivot_neg_err
GRB090824918|59.905|10.014|-4.608|3.6502e-06|7.5117e-08|3.404536e-01|3.237333e-01|3.237333e-01|3.523897e+01|1.784466e+00|1.784466e+00|2.384174e-01|3.402459e-01|3.402459e-01|-3.001317e+00|2.729595e-01|2.729595e-01|4.007687e+01|3.739407e+00|3.739407e+00|6.624588e-01|8.615403e-01|8.615403e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.952500e+01|4.129742e+00|4.129742e+00|7.266624e-01|8.266607e-01|8.266607e-01|-3.835265e+00|6.834374e+02|6.834374e+02|3.883648e+01|1.646877e+00|1.646877e+00|-2.900544e-01|2.380510e-01|2.380510e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB120212383|9.216|0.724|-2.048|1.1489e-06|2.5897e-08|3.745936e-03|9.068777e-04|9.068777e-04|2.330802e+02|1.354652e+02|1.354652e+02|-1.647438e+00|1.370347e-01|1.370347e-01|-6.123422e+00|2.497672e+03|2.497672e+03|4.041884e+01|6.915623e+00|6.915623e+00|-1.033233e+00|4.781712e-01|4.781712e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.508151e+01|7.788092e+00|7.788092e+00|-7.423775e-01|6.156152e-01|6.156152e-01|-2.456122e+00|8.188767e-01|8.188767e-01|1.964574e+02|7.939887e+01|7.939887e+01|-1.630672e+00|1.427520e-01|1.427520e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB100228544|67.072|4.720|-3.072|2.7683e-06|5.0460e-08|3.365410e-01|8.933507e-01|8.933507e-01|4.448473e+01|1.421141e+01|1.421141e+01|9.068980e-01|6.231958e-01|6.231958e-01|-2.014220e+00|1.451747e-01|1.451747e-01|4.287508e+01|3.110545e+01|3.110545e+01|-1.457402e+00|6.744552e-01|6.744552e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.501763e+01|1.552073e+01|1.552073e+01|-2.958248e-01|1.740524e+00|1.740524e+00|-2.753853e+00|7.690414e+02|7.690414e+02|9.584866e+01|1.659123e+01|1.659123e+01|-8.082202e-01|2.487895e-01|2.487895e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB090810659|125.182|1.846|0.004|9.3687e-06|4.8233e-08|4.216208e-02|1.699474e-02|1.699474e-02|3.857966e+01|3.204338e+00|3.204338e+00|-8.281847e-01|2.171134e-01|2.171134e-01|-2.364005e+00|1.013055e-01|1.013055e-01|4.298270e+01|5.963146e+00|5.963146e+00|-1.315541e+00|2.675773e-01|2.675773e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.479732e+01|9.765896e+00|9.765896e+00|-9.904435e-01|7.018405e-01|7.018405e-01|-2.511236e+00|3.136163e-01|3.136163e-01|5.328736e+01|2.767574e+00|2.767574e+00|-1.350712e+00|8.342910e-02|8.342910e-02|1.000000e+02|0.000000e+00|0.000000e+00
GRB150703149|50.176|5.152|-16.896|5.0155e-06|6.8097e-08|4.927999e-02|1.978128e-02|1.978128e-02|4.728044e+01|1.792838e+01|1.792838e+01|-3.181565e-01|2.238115e-01|2.238115e-01|-2.058241e+00|8.590293e-02|8.590293e-02|4.394703e+01|1.318708e+01|1.318708e+01|-1.604956e+00|3.095385e-01|3.095385e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.883933e+01|6.471340e+00|6.471340e+00|-5.221422e-01|8.722755e-01|8.722755e-01|-2.332143e+00|2.906289e-01|2.906289e-01|9.190900e+01|7.167747e+00|7.167747e+00|-1.118559e+00|8.639073e-02|8.639073e-02|1.000000e+02|0.000000e+00|0.000000e+00
GRB130623488|22.272|0.923|-1.792|2.4645e-06|3.0042e-08|1.909407e-02|2.033522e-02|2.033522e-02|2.806861e+01|4.528196e+00|4.528196e+00|-1.095303e+00|3.499717e-01|3.499717e-01|-2.362571e+00|1.704245e-01|1.704245e-01|4.474191e+01|7.260044e+00|7.260044e+00|-1.187948e+00|3.154953e-01|3.154953e-01|1.000000e+02|0.000000e+00|0.000000e+00|4.126871e+01|6.809872e+00|6.809872e+00|-9.924030e-01|3.928180e-01|3.928180e-01|-2.743894e+00|2.109691e+00|2.109691e+00|3.670083e+01|4.991747e+00|4.991747e+00|-1.635815e+00|1.236615e-01|1.236615e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB180620354|98.050|1.145|-69.825|6.5426e-06|6.0049e-08|3.332286e-02|6.558608e-03|6.558608e-03|3.757444e+01|1.150593e+00|1.150593e+00|-9.600558e-01|9.664822e-02|9.664822e-02|-3.263949e+00|4.734268e-01|4.734268e-01|4.586295e+01|1.540825e+00|1.540825e+00|-5.905606e-01|1.325630e-01|1.325630e-01|1.000000e+02|0.000000e+00|0.000000e+00|4.568708e+01|1.569897e+00|1.569897e+00|-5.783070e-01|1.393343e-01|1.393343e-01|-4.673653e+00|5.716454e+03|5.716454e+03|3.890348e+01|9.300423e-01|9.300423e-01|-1.059928e+00|6.613195e-02|6.613195e-02|1.000000e+02|0.000000e+00|0.000000e+00
GRB090117640|15.552|4.580|-5.248|2.5311e-06|4.6993e-08|1.947065e-02|8.985250e-03|8.985250e-03|2.036650e+01|2.075720e+00|2.075720e+00|-1.277526e+00|2.518432e-01|2.518432e-01|-2.426575e+00|1.083724e-01|1.083724e-01|4.639887e+01|2.503983e+00|2.503983e+00|-1.117709e+00|1.304184e-01|1.304184e-01|1.000000e+02|0.000000e+00|0.000000e+00|4.623914e+01|3.055531e+00|3.055531e+00|-1.112884e+00|1.212152e-01|1.212152e-01|-3.871886e+00|1.258605e+03|1.258605e+03|1.268668e+01|1.068388e+01|1.068388e+01|-1.905984e+00|1.096290e-01|1.096290e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB150203173|25.600|3.238|-3.584|1.8639e-06|6.2777e-08|1.528576e-02|1.814692e-02|1.814692e-02|7.882941e+01|3.875964e+01|3.875964e+01|-4.960186e-01|3.596218e-01|3.596218e-01|-2.115813e+00|3.867104e-01|3.867104e-01|4.647269e+01|1.464457e+01|1.464457e+01|-9.190568e-01|9.560769e-01|9.560769e-01|1.000000e+02|0.000000e+00|0.000000e+00|4.699513e+01|1.500274e+01|1.500274e+01|-9.597606e-01|6.887677e-01|6.887677e-01|-8.071899e+00|3.522233e+03|3.522233e+03|1.065874e+02|1.999682e+01|1.999682e+01|-8.175151e-01|2.699778e-01|2.699778e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB150216415|33.792|2.919|-0.768|2.2936e-06|3.8839e-08|3.094784e-02|1.227743e-02|1.227743e-02|6.404967e+01|6.221016e+00|6.221016e+00|-2.322235e-01|2.559077e-01|2.559077e-01|-2.823621e+00|5.645118e-01|5.645118e-01|4.654000e+01|5.874561e+00|5.874561e+00|1.458845e+00|1.192676e+00|1.192676e+00|1.000000e+02|0.000000e+00|0.000000e+00|4.758378e+01|1.238077e+01|1.238077e+01|6.464406e-01|4.274219e-01|4.274219e-01|-2.936331e+00|1.302362e+01|1.302362e+01|7.138118e+01|4.979111e+00|4.979111e+00|-4.708440e-01|1.905990e-01|1.905990e-01|1.000000e+02|0.000000e+00|0.000000e+00
