Resultsfromheasarc_fermigbrst:FermiGBMBurstCatalog
Coordinatesystem:Equatorial
|name|t90|t90_error|fluence|fluence_error|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_pivot|pflx_comp_pivot_pos_err|pflx_comp_pivot_neg_err|pflx_comp_ergflux|pflx_comp_ergflux_error|
|GRB171222684|80.384|4.615|3.1870e-06|3.7723e-08|3.881969e+02|3.597412e+00|3.597412e+00|-2.021583e+00|1.514268e-02|1.514268e-02|1.000000e+02|0.000000e+00|0.000000e+00|1.123395e-07|1.869350e-08|
|GRB100718796|38.656|8.002|2.5348e-06|3.9787e-08|6.810214e+01|8.081368e+00|8.081368e+00|7.372610e-01|8.485358e-01|8.485358e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.339138e-07|1.883531e-08|
|GRB111010709|52.993|0.923|1.2556e-05|5.2485e-08|4.678586e+01|5.736301e+00|5.736301e+00|-1.193565e+00|2.747153e-01|2.747153e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.214941e-07|1.904891e-08|
|GRB130420539|13.824|5.278|1.5971e-06|5.7693e-08|7.037035e+01|9.233372e+00|9.233372e+00|1.915370e-01|5.670769e-01|5.670769e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.483768e-07|1.912550e-08|
|GRB170929513|9.472|0.923|1.3476e-06|1.9206e-08|4.843019e+01|3.620319e+00|3.620319e+00|-1.063241e+00|1.864615e-01|1.864615e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.607773e-07|1.917091e-08|
|GRB120212383|9.216|0.724|1.1489e-06|2.5897e-08|4.041884e+01|6.915623e+00|6.915623e+00|-1.033233e+00|4.781712e-01|4.781712e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.501053e-07|1.931718e-08|
|GRB170520202|6.144|5.081|4.0795e-07|1.2631e-08|5.635210e+01|1.169866e+01|1.169866e+01|-8.468361e-01|5.062625e-01|5.062625e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.429830e-07|1.946537e-08|
|GRB160222070|18.176|1.280|1.2666e-06|2.9950e-08|7.164322e+01|1.132368e+01|1.132368e+01|-4.925441e-01|7.042534e-01|7.042534e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.098151e-07|1.969551e-08|
|GRB081124060|19.456|1.086|8.5897e-06|7.9771e-08|2.177152e+01|9.801025e-01|9.801025e-01|-6.676000e-01|0.000000e+00|0.000000e+00|1.000000e+02|0.000000e+00|0.000000e+00|7.069427e-07|1.972660e-08|
|GRB120426585|30.973|3.620|3.6585e-06|4.1717e-08|1.848490e+02|1.311487e+01|1.311487e+01|-2.010536e+00|1.698836e-05|1.698836e-05|1.000000e+02|0.000000e+00|0.000000e+00|2.100749e-07|1.973180e-08|
